Nawisko aktualne,Liczba
STARZYŃSKA,2824
KRAWCZYŃSKA,2816
MIROWSKA,2816
BORECKA,2813
WOLNY,2812
WOJNOWSKA,2811
GĄDEK,2809
KUSZ,2809
KARBOWSKA,2808
PAJOR,2808
BOGDANOWICZ,2805
KOTARSKA,2805
SĘKOWSKA,2804
WĄSOWICZ,2804
PORĘBA,2802
RAKOCZY,2802
STAROŃ,2801
SAGAN,2798
JARECKA,2797
BABIARZ,2796
SZNAJDER,2796
WIATR,2796
BOROWIECKA,2795
JELEŃ,2792
MROZIŃSKA,2792
BORUCKA,2791
NOWOSIELSKA,2791
KRZAK,2787
NIEDŹWIEDŹ,2783
CYWIŃSKA,2782
LACHOWSKA,2781
SZCZOTKA,2780
BOROWICZ,2779
BIEGAŃSKA,2778
KLOC,2778
MAŁOLEPSZA,2777
NOCOŃ,2776
MATYJA,2774
TROJAN,2774
SYNOWIEC,2772
PRZYGODA,2765
CHOWANIEC,2762
DAWIDOWICZ,2761
DAWIDOWSKA,2760
STRZELEC,2760
BLOCH,2758
MAJER,2758
JEŻ,2757
TRAWIŃSKA,2757
KUPCZYK,2755
ZDANOWICZ,2753
KURKOWSKA,2747
OLEKSIAK,2747
BARCZYK,2742
KARWACKA,2738
KOSIOREK,2738
MIELNIK,2735
GROMEK,2733
HOFMAN,2726
MADEJSKA,2724
GAJOS,2722
WOJTKOWSKA,2722
WOJDYŁA,2718
ŁUKOMSKA,2716
OGRODNIK,2708
RUSINEK,2707
WOJNAROWSKA,2707
POZNAŃSKA,2702
WOLAŃSKA,2696
BĄCZEK,2695
PODOLSKA,2695
OLESIŃSKA,2689
GANCARZ,2685
ROZMUS,2684
WIERZBOWSKA,2678
ADAMKIEWICZ,2677
MATEJA,2677
BOCHEŃSKA,2675
KĘPIŃSKA,2675
PACIOREK,2674
TOBIASZ,2674
KUDŁA,2672
RUSZKOWSKA,2671
ZDROJEWSKA,2671
KOCH,2666
JANKIEWICZ,2661
KOCUR,2658
JEŻEWSKA,2656
DZIĘCIOŁ,2655
ŁYSIAK,2654
OGONOWSKA,2652
ĆWIEK,2651
MISIEWICZ,2651
KUNA,2650
WOŹNICKA,2649
KUTA,2647
GOLONKA,2646
PIENIĄŻEK,2644
JAROCKA,2643
JÓZEFOWICZ,2642
SARNA,2642
KUŁAKOWSKA,2640
SUCHODOLSKA,2640
KISIELEWSKA,2639
BOGUSŁAWSKA,2637
SAMBORSKA,2636
BARTOSIAK,2633
KLIŚ,2633
STACH,2631
PŁACZEK,2629
KOSSAKOWSKA,2627
KWAŚNIAK,2621
HAŁAS,2620
KARPOWICZ,2619
POKORSKA,2619
TARKOWSKA,2618
SOBKOWIAK,2617
SROCZYŃSKA,2616
KUBALA,2614
ANIOŁ,2611
MĄKA,2611
RATAJ,2610
BAŃKOWSKA,2609
KOTOWICZ,2609
KRASOŃ,2609
DZIĘGIELEWSKA,2608
JELONEK,2606
KOSIOR,2606
KUŹMIŃSKA,2606
POŚPIECH,2606
ZWIERZCHOWSKA,2606
ABRAMOWICZ,2605
DEPTUŁA,2605
STAWSKA,2604
FLORCZYK,2602
KORCZYŃSKA,2602
SZUMSKA,2602
GUZEK,2601
JACH,2601
MYSZKA,2601
SAJDAK,2601
WALKIEWICZ,2601
BIELICKA,2597
GŁOWACZ,2595
RYBCZYŃSKA,2594
PIECHOWIAK,2593
MROZIK,2589
POPEK,2588
GLINKA,2587
ROGUSKA,2586
PAWŁOWICZ,2585
PTASZYŃSKA,2585
KAWCZYŃSKA,2583
WĄS,2581
BAŁDYGA,2578
FILIPOWSKA,2578
KRASIŃSKA,2574
MĄDRA,2574
MYSZKOWSKA,2571
BAJOR,2569
GÓRZYŃSKA,2569
ZAJDEL,2568
OLESZCZUK,2565
BOCIAN,2561
WYSOKIŃSKA,2559
ZAJKOWSKA,2557
ŁĄCKA,2554
PANKOWSKA,2553
PISKORSKA,2553
PUZIO,2553
KASPROWICZ,2552
PIRÓG,2550
ZIAJA,2544
CAŁKA,2543
SIEMIŃSKA,2543
ŻOCHOWSKA,2543
WLAZŁO,2541
BOGUSZEWSKA,2540
MROZOWSKA,2540
ADAMCZUK,2539
JANIKOWSKA,2538
SAWCZUK,2538
MARCZYK,2535
BADOWSKA,2534
MOROZ,2534
SKRZYŃSKA,2533
ŻMIJEWSKA,2533
KICIŃSKA,2524
FRĄCKIEWICZ,2521
TOMASZEK,2519
KULCZYCKA,2515
BANASZKIEWICZ,2511
DYBOWSKA,2509
SKRZYPIEC,2506
TWOREK,2506
DRZAZGA,2503
FORTUNA,2502
JASKUŁA,2501
MARCZUK,2501
GUZOWSKA,2500
WOJEWODA,2500
RACHWAŁ,2498
RZEŹNIK,2496
ŁUKAWSKA,2493
JANIEC,2492
NOSEK,2492
MATUSZEK,2491
SWOBODA,2491
DZIK,2490
SUŁEK,2489
PRZYBYŁEK,2487
WINKLER,2487
STANKOWSKA,2486
GŁUCHOWSKA,2485
CISZEK,2484
KUPIS,2478
RYNKIEWICZ,2475
LISEK,2474
WOJNAR,2474
BĘBEN,2473
KUKLIŃSKA,2473
DOMINIK,2470
NYKIEL,2470
SŁOTA,2470
JAKUBIK,2469
ANDRZEJAK,2468
DURAJ,2468
KUCZERA,2466
KUŹNIAR,2463
STARCZEWSKA,2463
ROLA,2461
SKUPIEŃ,2461
OLEK,2459
DANILUK,2456
CHOLEWIŃSKA,2455
IGNACZAK,2455
KNOP,2455
KOPKA,2453
PACH,2452
POLOK,2452
JODŁOWSKA,2450
ROZWADOWSKA,2449
KUPCZAK,2445
ŻBIKOWSKA,2445
ŁOBODA,2443
ABRAMCZYK,2441
KĘDZIA,2440
MITURA,2440
ŁATA,2438
PAWLACZYK,2438
SPYCHALSKA,2438
DOPIERAŁA,2435
KUŚNIERZ,2435
SŁOWIKOWSKA,2430
KOC,2428
ŁUKASIAK,2428
SOBIERAJSKA,2428
ZADROŻNA,2427
STADNIK,2425
KULKA,2423
FORYŚ,2421
PIASKOWSKA,2420
SOSNA,2420
DEPTA,2418
MACIEJCZYK,2418
MAĆKOWSKA,2417
OZIMEK,2417
GAWŁOWSKA,2414
SOJA,2414
CHOIŃSKA,2411
KOZUB,2411
CISEK,2410
FORNAL,2408
LUBIŃSKA,2407
SIWAK,2407
DĘBIŃSKA,2405
BRYK,2404
ZABIELSKA,2403
CICHY,2402
PRZYBYLAK,2402
ŁUKOWSKA,2397
CZERNIAWSKA,2394
GONDEK,2394
PIWOŃSKA,2394
CELIŃSKA,2393
NIZIOŁEK,2391
JANUSZKIEWICZ,2390
KLIMOWICZ,2390
GAWĘDA,2389
GÓRCZYŃSKA,2389
ROGULSKA,2386
ROWIŃSKA,2383
JAROSIŃSKA,2382
CHUDA,2380
WALICKA,2379
FORMELA,2377
STAWARZ,2376
POŁEĆ,2372
BARTOSZEWICZ,2371
KLIMKIEWICZ,2371
KROK,2367
CABAJ,2366
CHUDY,2366
WIKTOR,2366
GRABIEC,2364
KOŁEK,2363
KRZYŻANIAK,2363
ZIENKIEWICZ,2363
FICEK,2362
PACEK,2362
ĆWIKŁA,2360
KALISZEWSKA,2359
KOBIELA,2358
KRZEMIEŃ,2356
ŁAKOMA,2356
BARCZAK,2355
JANECKA,2355
CZARNOWSKA,2352
SKRZYPCZYK,2352
KAZIMIERSKA,2351
KRYGIER,2350
SZPAKOWSKA,2347
MOSZCZYŃSKA,2346
PAWEŁCZYK,2345
PŁUCIENNIK,2345
WALASEK,2345
WOJTYSIAK,2343
GUTKOWSKA,2341
IDZIKOWSKA,2341
KUBAS,2338
DEMBIŃSKA,2337
GIERSZEWSKA,2337
SOŁTYSIK,2337
BALIŃSKA,2335
SIWIŃSKA,2334
PANKIEWICZ,2333
PŁACHTA,2333
PIECHA,2332
JANOWICZ,2331
KORALEWSKA,2331
GIERCZAK,2329
MIODUSZEWSKA,2327
BUDNIK,2325
KĘDRA,2325
KILIAN,2325
LASKA,2325
BINKOWSKA,2324
POLKOWSKA,2324
SZMYT,2322
PIECUCH,2321
POKORA,2320
HEBDA,2317
KURIATA,2317
LISZEWSKA,2311
SZEWC,2306
WICHER,2304
PAWEŁEK,2302
PŁÓCIENNIK,2302
BIENIAS,2301
FILA,2301
BIŃKOWSKA,2300
KLICH,2299
MAŁACHOWSKA,2298
BARSZCZEWSKA,2297
URBANIK,2297
TERLECKA,2295
OPALIŃSKA,2288
ZDANOWSKA,2287
MOKRZYCKA,2283
CIEŚLAR,2281
KWAPISZ,2281
SEMENIUK,2280
BIEDRZYCKA,2277
ROMAŃCZUK,2277
KLIMCZYK,2276
ŚWIĘCICKA,2276
CHLEBOWSKA,2274
JASIAK,2274
PATYK,2273
SOBALA,2273
POPIEL,2272
ŻACZEK,2271
SKUZA,2269
ŚWITALSKA,2267
CHRZĄSZCZ,2266
CICHOWSKA,2262
KLESZCZ,2261
SKOTNICKA,2259
WIATROWSKA,2256
DOMARADZKA,2255
NIEDBAŁA,2252
SAŁATA,2252
KRZYSZTOFIK,2247
LABUDA,2246
PIEKARCZYK,2244
POŹNIAK,2244
KOSEK,2243
MICKIEWICZ,2242
GIBAS,2241
CICHECKA,2240
PNIEWSKA,2240
BAJER,2237
STAWIARSKA,2236
CHUDZIŃSKA,2235
DRAB,2235
PIECHOWSKA,2235
CHMIELECKA,2234
GAWRYŚ,2234
KACPERSKA,2234
KASIŃSKA,2234
LUPA,2234
SAS,2234
CZOP,2232
WANAT,2232
CZERNIK,2230
PIKUŁA,2229
ŁADA,2226
BĄCZKOWSKA,2225
SOBIECH,2225
RUTA,2224
ŻABIŃSKA,2223
ANDRUSZKIEWICZ,2220
ULATOWSKA,2219
WACHOWICZ,2218
LENARTOWICZ,2214
BASIŃSKA,2213
KOWNACKA,2212
MIŁEK,2212
GOŁDA,2211
KUŁAGA,2211
WALASZCZYK,2210
ORLIŃSKA,2208
PALKA,2207
WILKOWSKA,2207
KOZIKOWSKA,2206
KOŚMIDER,2205
PIETRUCHA,2204
PIWKO,2204
OBARA,2202
SIEŃKO,2202
KOPIEC,2201
KUKUŁA,2201
SYPNIEWSKA,2201
SZEWCZAK,2200
STEFANOWICZ,2199
JAWOROWSKA,2197
OCHMAN,2197
KUFEL,2196
SZMIT,2194
KARWAT,2193
ZAWADKA,2193
KALICKA,2192
KWAŚNIK,2192
PAWLUS,2191
PUSTELNIK,2191
MELLER,2190
PRZYBYŁO,2188
KIERZKOWSKA,2186
SARNECKA,2186
STEFANOWSKA,2186
GRABIŃSKA,2185
ORLIK,2183
FISZER,2181
MARCINEK,2181
WARDA,2181
GŁUSZEK,2180
CZERNECKA,2179
BARTOSZ,2177
CHĘCIŃSKA,2177
MOŚCICKA,2177
TABAKA,2175
WOLANIN,2175
SZYDŁO,2174
KOŻUCH,2173
JUREWICZ,2167
MATYSEK,2167
SZCZĘCH,2167
JASEK,2164
BORZĘCKA,2162
MIERNIK,2162
GWIZDAŁA,2159
ISKRA,2159
MACIAK,2159
POLOCZEK,2159
KUR,2158
NIKIEL,2158
BONIECKA,2157
GONTARZ,2157
BĘBENEK,2156
ŁUKASZCZYK,2156
BORAWSKA,2153
ŁOZIŃSKA,2153
KASPRZYCKA,2152
ROSTKOWSKA,2151
MIELEWCZYK,2150
SZYMURA,2148
FEDOROWICZ,2147
SZCZĘŚNIAK,2147
JURASZEK,2146
MIAZGA,2146
SOLARZ,2146
DRAGAN,2145
ŁASKA,2145
ROJEWSKA,2145
TARASIUK,2144
CZARNIK,2142
KORYCKA,2141
PONIATOWSKA,2141
HINC,2140
KOCOT,2140
MRUK,2140
RYSZKA,2140
GRUSZECKA,2139
KARBOWIAK,2139
PIELA,2138
SASIN,2138
JURGA,2134
ANTOSIK,2133
LEJA,2132
PLATA,2132
KUŹNIK,2131
WAWER,2130
MICHALEC,2129
NARLOCH,2128
BROŻYNA,2125
SADKOWSKA,2124
ŻYDEK,2123
ŚWINIARSKA,2120
ZDUŃCZYK,2120
BOCZKOWSKA,2118
SAŁEK,2118
CIESZYŃSKA,2117
BŁASIAK,2116
PIETKIEWICZ,2115
GÓRNIK,2114
RODZIEWICZ,2114
SPYRA,2113
IGNASIAK,2111
DZIUBEK,2108
PLISZKA,2108
MYŚLIŃSKA,2107
LEWKOWICZ,2106
KOTECKA,2105
WSZOŁEK,2102
BUDNA,2100
KLEPACKA,2100
LECHOWICZ,2100
JASIK,2098
POLAKOWSKA,2098
SZYMBORSKA,2098
ZIOBRO,2096
MOMOT,2094
GŁODEK,2091
JÓZEFIAK,2089
DYRDA,2088
JABŁONOWSKA,2086
KISZKA,2086
BARTOSZEWSKA,2085
DMOCHOWSKA,2083
KAIM,2083
PRUSAK,2083
OKOŃSKA,2080
BABIŃSKA,2079
BOMBA,2078
LIGĘZA,2078
MAJCHROWSKA,2076
TYSZKIEWICZ,2076
KACPRZYK,2075
BURA,2071
STEFAŃCZYK,2071
OLEJARZ,2070
ZELEK,2070
MANIA,2069
BAŃKA,2067
JAGŁA,2067
NOWOSAD,2067
KRYŃSKA,2066
BIL,2065
KOPERSKA,2064
CZECHOWICZ,2061
GAWIN,2059
KWAŚNA,2059
MUSIELAK,2059
PIETRASIK,2059
MLECZKO,2058
POGODA,2057
JASZCZUK,2056
KOWALKOWSKA,2056
SAMSEL,2056
CISOWSKA,2055
KUŚMIERCZYK,2055
SCHULZ,2055
ŻELAZNA,2055
WILCZAK,2053
LANGNER,2052
FIRLEJ,2050
GRALAK,2048
NAPORA,2048
BĘDKOWSKA,2044
PORADA,2044
SUSZEK,2044
STASIK,2042
BOCZEK,2041
SZYSZKO,2039
KUSTRA,2037
KŁAK,2031
PIETRUSZEWSKA,2030
KLOCEK,2029
PIETRASZEK,2029
WEGNER,2029
ŻÓŁTOWSKA,2029
BYKOWSKA,2028
NĘDZA,2028
RZEPA,2028
SOBIECKA,2028
WRONKA,2028
SAK,2027
ŁĘCKA,2026
DEREŃ,2025
DOMIN,2025
DEJA,2023
GRAD,2023
KOSAKOWSKA,2023
MRÓWKA,2023
PAWLUK,2023
CIECHANOWSKA,2022
DMOWSKA,2020
WOJTAŚ,2020
GOŹDZIK,2019
KACZMARZYK,2018
KONIK,2016
MALCZYK,2016
BRYL,2014
CZEKALSKA,2014
PASIEKA,2014
BOROWIK,2013
KĄDZIELA,2013
WINIARCZYK,2013
MOCZULSKA,2012
PRZYBOROWSKA,2010
GIEMZA,2009
KOSECKA,2009
PALIWODA,2009
SKWARA,2009
WŁODARCZAK,2008
JAGIEŁA,2006
MĄCZYŃSKA,2006
SÓJKA,2006
GŁUCH,2003
ŚWIDEREK,2002
KASZA,2001
MACHURA,2001
MÜLLER,2000
STRZYŻEWSKA,2000
WASILUK,2000
BALCER,1996
ZARZECKA,1994
JANCZEWSKA,1991
SUDER,1991
MATKOWSKA,1990
NOWIK,1989
TAŃSKA,1987
PEPLIŃSKA,1986
SUKIENNIK,1986
TARGOSZ,1985
JARZYNA,1984
BATKO,1983
ORLIKOWSKA,1980
PYTLIK,1979
KOCIOŁEK,1978
KONKOL,1977
SADŁOWSKA,1976
ŚWISTAK,1975
KRYSZTOFIAK,1974
BARNAŚ,1973
MNICH,1973
PACHOLSKA,1972
PIEKUT,1971
TOCZEK,1971
RICHTER,1970
PARZYCH,1969
WIKTOROWICZ,1969
CIOSEK,1967
KUŚMIERZ,1967
LIPOWSKA,1967
KRUPSKA,1965
TYSZKA,1964
ZWIERZYŃSKA,1964
BRZÓSKA,1960
NGUYEN,1960
KRZYWICKA,1959
KUBIŃSKA,1958
GĘBALA,1957
KRYNICKA,1956
GORZKOWSKA,1954
BUTKIEWICZ,1953
PRZYTUŁA,1953
ZĄBEK,1951
MARTYNIUK,1950
MACHAJ,1949
CZARKOWSKA,1948
REGULSKA,1945
SOBOL,1945
AUGUSTYNOWICZ,1943
CZEKAŁA,1942
JEDLIŃSKA,1941
KANTOR,1941
SABAT,1941
KOCIK,1940
PAWELCZYK,1940
CHRZAN,1939
STARZYK,1938
ŻYWICKA,1936
GRZESZCZAK,1935
OSIAK,1935
WOJTALA,1933
CEGIELSKA,1931
TARNAWSKA,1931
CHYŁA,1930
STAROSTA,1930
WASZCZUK,1930
KARBOWNIK,1929
MICHNA,1929
GRALA,1928
PAKULSKA,1928
SKOCZEŃ,1928
KĄDZIOŁKA,1927
NIEWĘGŁOWSKA,1927
TĘCZA,1926
WALA,1924
KOTAS,1922
CZERSKA,1921
BRZOSTEK,1919
DUTKA,1919
SUWAŁA,1919
PŁAZA,1917
FIJOŁEK,1916
GÓRNICKA,1916
KMIECIAK,1914
BOLEK,1913
JAŃCZAK,1913
KRZYWDA,1913
BAŁA,1912
GALANT,1912
ŁAGOWSKA,1912
MELNYK,1912
WIERZBA,1912
GRONOWSKA,1911
JARZĄB,1911
LUBAŃSKA,1911
PASZKO,1911
PUDŁO,1911
BARTKIEWICZ,1910
MATUSZCZYK,1910
STANIK,1909
STAŚKIEWICZ,1909
CHMIELOWIEC,1908
TYCZYŃSKA,1908
STRUZIK,1907
BIAŁOWĄS,1906
WĄTROBA,1906
KUŁAK,1905
LESIŃSKA,1905
DRĄŻEK,1904
KALEMBA,1904
WASIK,1904
JURA,1903
JOPEK,1902
RAWSKA,1902
FILIPKOWSKA,1900
PRZYWARA,1898
DZIUBIŃSKA,1897
GRĄDZKA,1897
MALIŃSKA,1895
RUSIECKA,1894
SŁOMSKA,1893
ZAŁUSKA,1893
GRAJEWSKA,1891
KORCZ,1891
SKOCZEK,1891
DANIELEWICZ,1890
GRZEGOREK,1890
LANGER,1890
ROMANOWICZ,1888
MISZCZUK,1885
SZERSZEŃ,1885
SZMIGIEL,1884
WOLF,1883
FRYC,1882
IDZIAK,1882
OLKOWSKA,1882
PTASIŃSKA,1882
PIÓRO,1881
GINTER,1880
MIGDAŁ,1879
PROKOPOWICZ,1878
SZABLEWSKA,1877
KIJEWSKA,1876
TALAGA,1875
GÓŹDŹ,1872
BRZOZA,1871
CHODOROWSKA,1871
JUSZKIEWICZ,1869
BOROWA,1868
KOTWICA,1868
JARZYŃSKA,1867
LISIAK,1867
CIEPLIŃSKA,1866
KACZKOWSKA,1866
JĘDRZEJAK,1862
MAŁKIEWICZ,1859
SKARŻYŃSKA,1859
MAGDZIARZ,1858
SZCZECIŃSKA,1858
ZAWIERUCHA,1858
ROKOSZ,1856
SOBECKA,1856
KOSICKA,1853
MIŁKOWSKA,1853
BAJOREK,1851
LIPA,1850
MAKSYMIUK,1850
ŻABA,1849
GOŁAWSKA,1847
BLICHARZ,1846
KAPAŁA,1845
SAKOWICZ,1845
BARTOS,1844
KUKIEŁKA,1844
DZIADOSZ,1842
KONIOR,1842
GOŁDYN,1841
CHROSTOWSKA,1840
CZOPEK,1840
PAŁASZ,1840
PODOLAK,1840
KRAWCZAK,1839
CHMIELOWSKA,1837
KRET,1837
ŚMIETANA,1836
KRASNODĘBSKA,1835
ARCISZEWSKA,1834
DOLECKA,1834
MAKOWIECKA,1833
BARYŁA,1832
RAFALSKA,1832
WALTER,1832
GŁÓD,1831
DOROSZ,1829
MARCZYŃSKA,1829
GODEK,1827
KOLIŃSKA,1827
WIĘCŁAW,1827
FOJCIK,1826
KRYSIŃSKA,1825
PTASZEK,1825
MIELNICZUK,1824
RADZIEJEWSKA,1824
PABIAN,1823
KRZYŻAK,1821
SULIMA,1821
TARCZYŃSKA,1821
WOŁOWIEC,1821
JAREK,1820
KUCZKOWSKA,1820
KURZEJA,1820
BUCZAK,1819
SZCZEPKOWSKA,1819
FURMANEK,1817
SIWIK,1817
ŁOJEK,1814
WALKOWSKA,1814
BARSKA,1813
CIUPA,1813
ANTONIUK,1812
ŁUKASZUK,1810
SMAGA,1810
KURPIEWSKA,1809
CIECIERSKA,1808
GOLIK,1808
MŁYŃSKA,1807
KABAT,1806
RYDZ,1806
STRÓŻYK,1806
ADAMOWSKA,1804
DASZKIEWICZ,1803
KARP,1801
KMITA,1801
MIŁOSZ,1801
WOŹNY,1801
FIC,1800
RAPACZ,1799
NIEWIŃSKA,1797
MRÓWCZYŃSKA,1796
MICHNIEWICZ,1794
STĘPIŃSKA,1794
STYŚ,1794
DOBEK,1792
KARCZMARCZYK,1792
SARZYŃSKA,1792
ŻUROWSKA,1792
BRZEZICKA,1791
WALCZUK,1791
JAROSZEWICZ,1789
KONARZEWSKA,1789
SIEKIERSKA,1789
SIELSKA,1788
JAWOREK,1786
TKOCZ,1786
CIURA,1785
PERZ,1785
BISKUPSKA,1784
CYBULA,1783
KOCHAN,1783
ZIÓŁEK,1783
DOMBROWSKA,1782
JAMROZIK,1782
PADUCH,1782
SZAŁKOWSKA,1782
RYCHTER,1781
PALUSZKIEWICZ,1780
WOCH,1779
WOJTKIEWICZ,1779
JANOTA,1777
KOŁTUN,1777
SAWA,1777
RADZIK,1774
OBRĘBSKA,1773
BIAŁY,1772
GĘBSKA,1772
KUPKA,1772
PSZCZÓŁKOWSKA,1772
ZYŚK,1771
GROMADZKA,1770
JAŻDŻEWSKA,1770
ZANIEWSKA,1770
BŁOCH,1769
FRANCZYK,1769
MARSZAŁ,1769
LIBERA,1768
STEFANIUK,1767
ANTONOWICZ,1765
KONIECZKA,1765
ŚMIAŁEK,1765
RUSAK,1764
LATOS,1763
RAJEWSKA,1763
GĘBKA,1762
FALKIEWICZ,1761
GNIADEK,1761
WOJTAL,1760
HAWRYLUK,1758
DURKA,1756
NIEDŹWIEDZKA,1756
ŚWIĘTEK,1756
BORUTA,1754
FĄFARA,1754
PŁOTKA,1754
WEISS,1753
OCHOCKA,1751
ZAMOJSKA,1750
BUJNOWSKA,1749
KASPERCZYK,1749
SIECZKA,1749
STOLAREK,1749
KRAUS,1748
WIEWIÓRA,1748
BRYŚ,1747
JAKUBEK,1747
KULCZYŃSKA,1747
PRZYBYŁOWSKA,1747
DĘBEK,1745
KĘSKA,1745
GAPIŃSKA,1740
KURDZIEL,1740
TYBURSKA,1740
POMORSKA,1739
PRUSZYŃSKA,1739
STACHYRA,1739
SOSZYŃSKA,1738
JASZCZAK,1737
FIEDOROWICZ,1736
SKAWIŃSKA,1736
SOKALSKA,1736
WENCEL,1736
WENTA,1736
KASZUBOWSKA,1735
PAŁCZYŃSKA,1735
PAŁYS,1735
IDZIK,1734
MADEJA,1733
JELIŃSKA,1732
PALACZ,1732
GACA,1731
DRZYMAŁA,1730
KOBIAŁKA,1730
KOTLIŃSKA,1730
ROSÓŁ,1730
SULEJ,1729
WOŁEK,1729
WĄDOŁOWSKA,1727
MAŚLAK,1726
GALUS,1725
KULAK,1725
OCZKOWSKA,1724
OPAŁKA,1724
PASTUSZAK,1724
KOCOŃ,1723
KUMOR,1723
NOGAJ,1723
BRZÓZKA,1722
GAŁKOWSKA,1722
BIGOS,1721
GAŁEK,1721
JANECZKO,1718
MIGAS,1718
MICHTA,1717
CZARNOCKA,1716
JARZĘBSKA,1716
WALEWSKA,1716
KARASIEWICZ,1715
RAJSKA,1714
CHABOWSKA,1710
REK,1709
FRONTCZAK,1708
GAIK,1708
SCHNEIDER,1708
GRUBA,1707
BAZAN,1706
MARCHLEWSKA,1705
RĘBISZ,1703
ŻYŁKA,1703
SIEK,1702
BODNAR,1701
FOLTYN,1701
KWIDZIŃSKA,1700
SKÓRSKA,1700
GRZANKA,1699
NIZIOŁ,1699
KIEDROWSKA,1698
KROPIDŁOWSKA,1698
SADŁO,1698
KŁYS,1697
DZWONKOWSKA,1696
JAROSZEK,1696
OLSZÓWKA,1695
WOŹNICZKA,1695
ŻĄDŁO,1694
SKRZYNIARZ,1692
SŁUPSKA,1692
DĄBROWA,1691
NEJMAN,1690
ZIEMIŃSKA,1690
KIJAK,1689
LEHMANN,1689
FIGURSKA,1687
BARTYZEL,1686
MUSIALIK,1686
NAWARA,1686
SOLIŃSKA,1686
CIBOROWSKA,1685
GALA,1684
SOBIESKA,1684
CZARNIECKA,1683
KOŹLIK,1683
PAROL,1682
BUJALSKA,1681
DUDKA,1681
GUCWA,1681
GUZY,1681
PACYNA,1681
ŻYGADŁO,1681
SŁOMA,1680
SMOLAK,1679
STARZEC,1679
RYGIELSKA,1678
KARDAS,1677
NAKONIECZNA,1677
ŁUPIŃSKA,1674
BACZEWSKA,1673
HOPPE,1673
BRZYSKA,1672
KRYCZKA,1671
WRZESZCZ,1671
GOŚCINIAK,1670
KURZYŃSKA,1670
ROGACKA,1670
SOROKA,1670
STRZAŁKA,1670
BURAK,1669
RADWAN,1669
RUTKA,1669
SZREDER,1668
DERDA,1666
CZARNA,1665
JAKUBOWICZ,1665
KLIMKOWSKA,1665
RZESZUTEK,1663
WALASZEK,1663
GREŃ,1662
KLUCZYŃSKA,1662
SZYMKIEWICZ,1660
BAKALARZ,1659
MALINA,1659
MIOTK,1658
BRODZIŃSKA,1657
FABER,1657
ŚWIERCZEWSKA,1657
GARCZYŃSKA,1656
MOŻDŻEŃ,1656
SKÓRKA,1655
DEMBOWSKA,1653
BĄCZYK,1652
KOCJAN,1652
PILECKA,1652
SMOLARCZYK,1652
BYCZKOWSKA,1651
ŚMIGIEL,1650
BŁAŻEJCZYK,1649
ZACHARSKA,1649
CEGLAREK,1648
DUCH,1648
WYKA,1648
BŁASZKOWSKA,1647
GRODZICKA,1647
BONK,1646
DOMŻALSKA,1644
GRZĘDA,1643
GARBOWSKA,1641
KRAMARZ,1641
DZIEWULSKA,1639
GARSTKA,1639
ŁABĘDZKA,1639
SITKOWSKA,1639
WAJS,1639
BRODZIAK,1638
FUCHS,1636
KUBAT,1633
BACH,1632
KUĆ,1632
MUZYKA,1632
ŻAKOWSKA,1632
BANASZCZYK,1631
KOSSOWSKA,1631
KOTULA,1629
SURMACZ,1628
SZYMONIAK,1628
DZIADEK,1627
GRADOWSKA,1627
KACZOREK,1626
WIELICZKO,1626
LENKIEWICZ,1625
PALA,1625
PUDEŁKO,1625
RADOŃ,1625
MIKRUT,1624
STANIEK,1624
KUBIŚ,1623
MATYS,1623
RACZEK,1623
KEMPIŃSKA,1622
PRZYGODZKA,1622
SZYSZKOWSKA,1622
BABICZ,1621
BIZOŃ,1621
DZIEKAN,1621
KAPŁON,1620
REKOWSKA,1620
ŁOPATA,1619
ZAPART,1618
PIECZONKA,1617
ZABORSKA,1617
DANIELAK,1616
KONEFAŁ,1616
BUCHTA,1615
BRZOSTOWSKA,1614
MAZGAJ,1614
KOPAŃSKA,1612
WĄCHAŁA,1612
GRZYWA,1609
GÓRAK,1608
WIERCIŃSKA,1608
WOJCIESZAK,1607
DERA,1606
GARUS,1606
KWIETNIEWSKA,1606
STRĄCZEK,1606
BAR,1603
KLEPACZ,1603
ŻABICKA,1603
MURZYN,1602
GŁĘBOCKA,1601
ŁOJEWSKA,1601
RYNKOWSKA,1601
SZABŁOWSKA,1601
LAZAR,1600
PELCZAR,1600
RÓŻALSKA,1600
BAJ,1599
KRAWCZUK,1598
KAROLEWSKA,1597
BUCKA,1596
KARDASZ,1596
KOTŁOWSKA,1596
JAROMIN,1595
PAŹDZIOR,1595
STYCZEŃ,1595
PŁOŃSKA,1594
TRZASKOWSKA,1594
KUBERA,1593
SIERAKOWSKA,1593
BERGER,1592
CURYŁO,1592
DYL,1591
MICHALCZUK,1590
MROŻEK,1590
PYTLAK,1589
SULIKOWSKA,1589
ILNICKA,1588
JAROŃ,1588
KOLANO,1586
FOKS,1584
LIZAK,1584
WAŚKO,1583
TURKIEWICZ,1582
DUDZIC,1581
GURGUL,1581
NIEWIAROWSKA,1581
RAJCA,1581
GRĘDA,1580
STANISZ,1580
DANKOWSKA,1579
SNOPEK,1579
MAZUROWSKA,1578
JADCZAK,1577
ŁUSZCZYŃSKA,1577
MATYSIK,1577
ZIĘTARA,1576
IGNATOWICZ,1573
OWCZARZAK,1573
SKOREK,1572
POLIT,1571
BIEGUN,1570
MATUŁA,1569
PUŁAWSKA,1569
